TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
Boston College,66.8379,267,67.7419,230,94.5476,303,97.7793,272,98.9309,123,97.3128,83,0.466488,161
Boston University,67.7188,231,67.212,251,97.9601,243,98.0767,259,99.1084,127,104.029,220,-5.95226,243
Bowling Green,71.1477,79,70.5758,87,101.022,191,98.8702,247,105.944,259,108.017,294,-9.14649,282
Bradley,66.6471,275,66.2996,288,99.7657,215,101.348,191,89.4142,25,92.8163,39,8.53139,87
Brown,67.724,230,68.5464,187,94.2946,306,95.942,308,93.3453,51,98.959,107,-3.01702,208
Bryant,75.0859,6,75.5535,2,104.652,117,104.442,125,104.161,221,104.837,236,-0.394535,172
Bucknell,66.0363,293,67.8143,227,102.949,154,101.986,174,102.241,183,107.81,286,-5.82443,239
Buffalo,75.7862,4,74.2354,12,97.8669,246,102.051,173,105.517,253,103.891,215,-1.83939,190
Butler,68.4339,201,68.1295,210,102.1,171,104.945,116,95.882,85,97.1724,80,7.77258,91
BYU,72.3871,41,72.13,38,100.059,210,103.851,135,94.497,67,95.0076,54,8.84382,85
Cal Baptist,65.0652,325,65.3187,316,98.3844,236,99.1528,245,95.3291,79,99.6371,125,-0.484324,175
Cal Poly,64.5568,336,64.9697,325,93.907,312,95.0402,321,101.076,159,102.561,174,-7.52041,261
